,Latin name provided,latinNameNoAuthor,Source,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
28675,Xanthium,Xanthium,LITTOX,Xanthium,,,11557-1,Genus
28676,Xanthium ambrosioides,Xanthium ambrosioides,LITTOX,Xanthium spinosum subsp. spinosum,Xanthium spinosum,260892-1,77180123-1,Subspecies
28677,Xanthium australe,Xanthium australe,LITTOX,Xanthium strumarium subsp. strumarium,Xanthium strumarium,260893-1,77194547-1,Subspecies
28678,Xanthium brachyacanthum,Xanthium brachyacanthum,LITTOX,Xanthium spinosum subsp. spinosum,Xanthium spinosum,260892-1,77180123-1,Subspecies
28679,Xanthium californicum,Xanthium californicum,LITTOX,Xanthium strumarium subsp. strumarium,Xanthium strumarium,260893-1,77194547-1,Subspecies
28680,Xanthium californicum as 'Californian burr',Xanthium californicum as 'Californian burr',LITTOX,Xanthium strumarium subsp. strumarium,Xanthium strumarium,260893-1,77194547-1,Subspecies
28681,Xanthium canadense,Xanthium canadense,LITTOX,Xanthium spinosum subsp. spinosum,Xanthium spinosum,260892-1,77180123-1,Subspecies
28682,Xanthium catharticum,Xanthium catharticum,LITTOX,Xanthium spinosum subsp. catharticum,Xanthium spinosum,260892-1,77181669-1,Subspecies
28683,Xanthium cavallinesii,Xanthium cavallinesii,LITTOX,,,,,
28684,Xanthium cavanillesii,Xanthium cavanillesii,LITTOX,Xanthium strumarium subsp. strumarium,Xanthium strumarium,260893-1,77194547-1,Subspecies
28685,Xanthium chasei,Xanthium chasei,LITTOX,,,,,
28686,Xanthium chinense,Xanthium chinense,LITTOX,Xanthium strumarium subsp. strumarium,Xanthium strumarium,260893-1,77194547-1,Subspecies
28687,Xanthium commune,Xanthium commune,LITTOX,Xanthium strumarium subsp. strumarium,Xanthium strumarium,260893-1,77194547-1,Subspecies
28688,Xanthium echinatum,Xanthium echinatum,LITTOX,Xanthium strumarium subsp. strumarium,Xanthium strumarium,260893-1,77194547-1,Subspecies
28689,Xanthium indicum,Xanthium indicum,LITTOX,Xanthium strumarium subsp. strumarium,Xanthium strumarium,260893-1,77194547-1,Subspecies
28690,Xanthium italicum,Xanthium italicum,LITTOX,Xanthium strumarium subsp. strumarium,Xanthium strumarium,260893-1,77194547-1,Subspecies
28691,Xanthium natalense,Xanthium natalense,LITTOX,Xanthium strumarium subsp. brasilicum,Xanthium strumarium,260893-1,954334-1,Subspecies
28692,Xanthium occidentale,Xanthium occidentale,LITTOX,Xanthium strumarium subsp. strumarium,Xanthium strumarium,260893-1,77194547-1,Subspecies
28693,Xanthium orientale,Xanthium orientale,LITTOX,Xanthium strumarium subsp. strumarium,Xanthium strumarium,260893-1,77194547-1,Subspecies
28694,Xanthium pennsylvanicum,Xanthium pennsylvanicum,LITTOX,Xanthium strumarium subsp. strumarium,Xanthium strumarium,260893-1,77194547-1,Subspecies
28695,Xanthium pensylvanicum,Xanthium pensylvanicum,LITTOX,Xanthium strumarium subsp. strumarium,Xanthium strumarium,260893-1,77194547-1,Subspecies
28696,Xanthium pungens,Xanthium pungens,LITTOX,Xanthium strumarium subsp. brasilicum,Xanthium strumarium,260893-1,954334-1,Subspecies
28697,Xanthium riparium,Xanthium riparium,LITTOX,Xanthium strumarium subsp. strumarium,Xanthium strumarium,260893-1,77194547-1,Subspecies
28698,Xanthium saccharatum,Xanthium saccharatum,LITTOX,Xanthium strumarium subsp. strumarium,Xanthium strumarium,260893-1,77194547-1,Subspecies
28699,Xanthium sibiricum,Xanthium sibiricum,LITTOX,Xanthium strumarium subsp. strumarium,Xanthium strumarium,260893-1,77194547-1,Subspecies
28700,Xanthium speciosum,Xanthium speciosum,LITTOX,Xanthium strumarium subsp. strumarium,Xanthium strumarium,260893-1,77194547-1,Subspecies
28701,Xanthium spinosum,Xanthium spinosum,LITTOX,Xanthium spinosum,Xanthium spinosum,260892-1,260892-1,Species
28702,Xanthium spinosum as 'Bathurst burr',Xanthium spinosum as 'Bathurst burr',LITTOX,Xanthium spinosum,Xanthium spinosum,260892-1,260892-1,Species
28703,Xanthium spinosum as 'cocklebur',Xanthium spinosum as 'cocklebur',LITTOX,Xanthium spinosum,Xanthium spinosum,260892-1,260892-1,Species
28704,Xanthium stramarium,Xanthium stramarium,LITTOX,,,,,
28705,Xanthium strumarium,Xanthium strumarium,LITTOX,Xanthium strumarium,Xanthium strumarium,260893-1,260893-1,Species
28706,Xanthium strumarium as 'burweed',Xanthium strumarium as 'burweed',LITTOX,Xanthium strumarium,Xanthium strumarium,260893-1,260893-1,Species
28707,Xanthium strumarium as 'coclebur',Xanthium strumarium as 'coclebur',LITTOX,Xanthium strumarium,Xanthium strumarium,260893-1,260893-1,Species
28708,Xanthocephalum,Xanthocephalum,LITTOX,Xanthocephalum,,,11559-1,Genus
28709,Xanthocephalum lucidum,Xanthocephalum lucidum,LITTOX,Gutierrezia microcephala,Gutierrezia microcephala,115039-2,115039-2,Species
28710,Xanthocephalum microcephalum,Xanthocephalum microcephalum,LITTOX,Gutierrezia microcephala,Gutierrezia microcephala,115039-2,115039-2,Species
28711,Xanthocephalum microephalum,Xanthocephalum microephalum,LITTOX,,,,,
28712,Xanthocephalum sarathrae,Xanthocephalum sarathrae,LITTOX,,,,,
28713,Xanthocephalum sarothrae,Xanthocephalum sarothrae,LITTOX,Gutierrezia sarothrae,Gutierrezia sarothrae,115050-2,115050-2,Species
28714,Xanthocephalum texanum,Xanthocephalum texanum,LITTOX,Gutierrezia texana,Gutierrezia texana,210880-1,210880-1,Species
28715,Xanthocercis,Xanthocercis,LITTOX,Xanthocercis,,,23823-1,Genus
28716,Xanthocerus,Xanthocerus,LITTOX,Lasthenia,,,9680-1,Genus
28717,Xanthochrous hispidus,Xanthochrous hispidus,LITTOX,,,,,
28718,Xanthogalum,Xanthogalum,LITTOX,Xanthogalum,,,40677-1,Genus
28719,Xanthogalum purpurascens,Xanthogalum purpurascens,LITTOX,Xanthogalum purpurascens,Xanthogalum purpurascens,850004-1,850004-1,Species
28720,Xanthophyllaceae,Xanthophyllaceae,LITTOX,Lasthenia,,,9680-1,Genus
28721,Xanthophyllum,Xanthophyllum,LITTOX,Xanthophyllum,,,332067-2,Genus
28722,Xanthoptera semicrocea,Xanthoptera semicrocea,LITTOX,,,,,
28723,Xanthorhiza simplicissima,Xanthorhiza simplicissima,LITTOX,Xanthorhiza simplicissima,Xanthorhiza simplicissima,715221-1,715221-1,Species
28724,Xanthoria,Xanthoria,LITTOX,Lasthenia,,,9680-1,Genus
28725,Xanthorrhoea,Xanthorrhoea,LITTOX,Xanthorrhoea,,,20622-1,Genus
28726,Xanthorrhoea arborea,Xanthorrhoea arborea,LITTOX,Xanthorrhoea arborea,Xanthorrhoea arborea,444045-1,444045-1,Species
28727,Xanthorrhoea arenaria,Xanthorrhoea arenaria,LITTOX,Xanthorrhoea arenaria,Xanthorrhoea arenaria,929683-1,929683-1,Species
28728,Xanthorrhoea australis,Xanthorrhoea australis,LITTOX,Xanthorrhoea australis,Xanthorrhoea australis,444046-1,444046-1,Species
28729,Xanthorrhoea australis ssp. acaulis,Xanthorrhoea australis ssp. acaulis,LITTOX,Xanthorrhoea acaulis,Xanthorrhoea acaulis,942668-1,942668-1,Species
28730,Xanthorrhoea autralis,Xanthorrhoea autralis,LITTOX,,,,,
28731,Xanthorrhoea bracteata,Xanthorrhoea bracteata,LITTOX,Xanthorrhoea bracteata,Xanthorrhoea bracteata,444047-1,444047-1,Species
28732,Xanthorrhoea caespitosa,Xanthorrhoea caespitosa,LITTOX,Xanthorrhoea caespitosa,Xanthorrhoea caespitosa,929684-1,929684-1,Species
28733,Xanthorrhoea concava,Xanthorrhoea concava,LITTOX,Xanthorrhoea concava,Xanthorrhoea concava,942669-1,942669-1,Species
28734,Xanthorrhoea fulva,Xanthorrhoea fulva,LITTOX,Xanthorrhoea fulva,Xanthorrhoea fulva,942670-1,942670-1,Species
28735,Xanthorrhoea glauca,Xanthorrhoea glauca,LITTOX,Xanthorrhoea glauca,Xanthorrhoea glauca,929685-1,929685-1,Species
28736,Xanthorrhoea hastile,Xanthorrhoea hastile,LITTOX,Xanthorrhoea resinosa,Xanthorrhoea resinosa,444062-1,444062-1,Species
28737,Xanthorrhoea hastilis,Xanthorrhoea hastilis,LITTOX,,,,,
28738,Xanthorrhoea hastitis,Xanthorrhoea hastitis,LITTOX,,,,,
28739,Xanthorrhoea johnsonii,Xanthorrhoea johnsonii,LITTOX,Xanthorrhoea johnsonii,Xanthorrhoea johnsonii,871249-1,871249-1,Species
28740,Xanthorrhoea latifolia,Xanthorrhoea latifolia,LITTOX,Xanthorrhoea latifolia,Xanthorrhoea latifolia,942671-1,942671-1,Species
28741,Xanthorrhoea macronema,Xanthorrhoea macronema,LITTOX,Xanthorrhoea macronema,Xanthorrhoea macronema,130776-3,130776-3,Species
28742,Xanthorrhoea media,Xanthorrhoea media,LITTOX,Xanthorrhoea media,Xanthorrhoea media,444055-1,444055-1,Species
28743,Xanthorrhoea media hybrids,Xanthorrhoea media hybrids,LITTOX,Xanthorrhoea media,Xanthorrhoea media,444055-1,444055-1,Species
28744,Xanthorrhoea media ssp. latifolia,Xanthorrhoea media ssp. latifolia,LITTOX,Xanthorrhoea latifolia,Xanthorrhoea latifolia,942671-1,942671-1,Species
28745,Xanthorrhoea media ssp. media,Xanthorrhoea media ssp. media,LITTOX,Xanthorrhoea media,Xanthorrhoea media,444055-1,444055-1,Species
28746,Xanthorrhoea minor,Xanthorrhoea minor,LITTOX,Xanthorrhoea minor,Xanthorrhoea minor,444056-1,444056-1,Species
28747,Xanthorrhoea minor subsp. lutea,Xanthorrhoea minor subsp. lutea,LITTOX,Xanthorrhoea minor subsp. lutea,Xanthorrhoea minor,444056-1,949073-1,Subspecies
28748,Xanthorrhoea quadrangulata,Xanthorrhoea quadrangulata,LITTOX,Xanthorrhoea quadrangulata,Xanthorrhoea quadrangulata,444061-1,444061-1,Species
28749,Xanthorrhoea resinosa,Xanthorrhoea resinosa,LITTOX,Xanthorrhoea resinosa,Xanthorrhoea resinosa,444062-1,444062-1,Species
28750,Xanthorrhoea resinosa ssp. concava,Xanthorrhoea resinosa ssp. concava,LITTOX,Xanthorrhoea concava,Xanthorrhoea concava,942669-1,942669-1,Species
28751,Xanthorrhoea resinosa ssp. fulva,Xanthorrhoea resinosa ssp. fulva,LITTOX,Xanthorrhoea fulva,Xanthorrhoea fulva,942670-1,942670-1,Species
28752,Xanthorrhoea resinosa ssp. resinosa,Xanthorrhoea resinosa ssp. resinosa,LITTOX,Xanthorrhoea resinosa,Xanthorrhoea resinosa,444062-1,444062-1,Species
28753,Xanthorrhoea semiplana,Xanthorrhoea semiplana,LITTOX,Xanthorrhoea semiplana,Xanthorrhoea semiplana,165587-3,165587-3,Species
28754,Xanthorrhoea sp. aff. X. media,Xanthorrhoea sp. aff. X. media,LITTOX,Xanthorrhoea,,,20622-1,Genus
28755,Xanthorrhoea thorntonii,Xanthorrhoea thorntonii,LITTOX,Xanthorrhoea thorntonii,Xanthorrhoea thorntonii,444066-1,444066-1,Species
28756,Xanthorrhoeaceae,Xanthorrhoeaceae,LITTOX,Xanthorrhoea,,,20622-1,Genus
28757,Xanthosma,Xanthosma,LITTOX,Lasthenia,,,9680-1,Genus
28758,Xanthosma sagittifolium,Xanthosma sagittifolium,LITTOX,,,,,
28759,Xanthosma violaceum,Xanthosma violaceum,LITTOX,,,,,
28760,Xanthosoma,Xanthosoma,LITTOX,Xanthosoma,,,2947-1,Genus
28761,Xanthosoma atrovirens,Xanthosoma atrovirens,LITTOX,Xanthosoma sagittifolium,Xanthosoma sagittifolium,89373-1,89373-1,Species
28762,Xanthosoma brasiliense,Xanthosoma brasiliense,LITTOX,Xanthosoma brasiliense,Xanthosoma brasiliense,269304-2,269304-2,Species
28763,Xanthosoma caraca,Xanthosoma caraca,LITTOX,,,,,
28764,Xanthosoma caracu,Xanthosoma caracu,LITTOX,Xanthosoma caracu,Xanthosoma caracu,89318-1,89318-1,Species
28765,Xanthosoma caracu as 'elephant's ear',Xanthosoma caracu as 'elephant's ear',LITTOX,Xanthosoma caracu,Xanthosoma caracu,89318-1,89318-1,Species
28766,Xanthosoma hoffmannii,Xanthosoma hoffmannii,LITTOX,Xanthosoma wendlandii,Xanthosoma wendlandii,89391-1,89391-1,Species
28767,Xanthosoma jacquinii,Xanthosoma jacquinii,LITTOX,Xanthosoma sagittifolium,Xanthosoma sagittifolium,89373-1,89373-1,Species
28768,Xanthosoma mafafa,Xanthosoma mafafa,LITTOX,Xanthosoma sagittifolium,Xanthosoma sagittifolium,89373-1,89373-1,Species
28769,Xanthosoma mafaffa,Xanthosoma mafaffa,LITTOX,Xanthosoma sagittifolium,Xanthosoma sagittifolium,89373-1,89373-1,Species
28770,Xanthosoma nigrum,Xanthosoma nigrum,LITTOX,Xanthosoma sagittifolium,Xanthosoma sagittifolium,89373-1,89373-1,Species
28771,Xanthosoma robusta,Xanthosoma robusta,LITTOX,Xanthosoma robustum,Xanthosoma robustum,89369-1,89369-1,Species
28772,Xanthosoma robustum,Xanthosoma robustum,LITTOX,Xanthosoma robustum,Xanthosoma robustum,89369-1,89369-1,Species
28773,Xanthosoma sagittifolium,Xanthosoma sagittifolium,LITTOX,Xanthosoma sagittifolium,Xanthosoma sagittifolium,89373-1,89373-1,Species
28774,Xanthosoma violacea,Xanthosoma violacea,LITTOX,Xanthosoma sagittifolium,Xanthosoma sagittifolium,89373-1,89373-1,Species
28775,Xanthosoma violaceum,Xanthosoma violaceum,LITTOX,Xanthosoma sagittifolium,Xanthosoma sagittifolium,89373-1,89373-1,Species
28776,Xanthoxylum,Xanthoxylum,LITTOX,Zanthoxylum,,,329404-2,Genus
28777,Xanthoxylum ailanthoides,Xanthoxylum ailanthoides,LITTOX,,,,,
28778,Xanthoxylum alatum,Xanthoxylum alatum,LITTOX,,,,,
28779,Xanthoxylum americanum,Xanthoxylum americanum,LITTOX,,,,,
28780,Xanthoxylum flavum,Xanthoxylum flavum,LITTOX,,,,,
28781,Xanthoxylum piperitum,Xanthoxylum piperitum,LITTOX,,,,,
28782,Xantium,Xantium,LITTOX,,,,,
28783,Xantium cavallinesii,Xantium cavallinesii,LITTOX,,,,,
28784,Xantosoma mafafa,Xantosoma mafafa,LITTOX,,,,,
28785,Xenophon,Xenophon,LITTOX,,,,,
28786,Xeranthemum,Xeranthemum,LITTOX,Xeranthemum,,,60437401-2,Genus
28787,Xeranthemum annuum,Xeranthemum annuum,LITTOX,Xeranthemum annuum,Xeranthemum annuum,260959-1,260959-1,Species
28788,Xeranthemum cylindraceum,Xeranthemum cylindraceum,LITTOX,Xeranthemum cylindraceum,Xeranthemum cylindraceum,260972-1,260972-1,Species
28789,Xeranthemum foetidum,Xeranthemum foetidum,LITTOX,Xeranthemum inapertum,Xeranthemum inapertum,260990-1,260990-1,Species
28790,Xeranthemum inapertum,Xeranthemum inapertum,LITTOX,Xeranthemum inapertum,Xeranthemum inapertum,260990-1,260990-1,Species
28791,Xeranthemum longepapposum,Xeranthemum longepapposum,LITTOX,Xeranthemum longepapposum,Xeranthemum longepapposum,260996-1,260996-1,Species
28792,Xeranthemum orientale,Xeranthemum orientale,LITTOX,Chardinia orientalis,Chardinia orientalis,192686-1,192686-1,Species
28793,Xeranthemum squarrosum,Xeranthemum squarrosum,LITTOX,Xeranthemum annuum,Xeranthemum annuum,260959-1,260959-1,Species
28794,Xerocomus,Xerocomus,LITTOX,,,,,
28795,Xerocomus badius,Xerocomus badius,LITTOX,,,,,
28796,Xerocomus chrysenteron,Xerocomus chrysenteron,LITTOX,,,,,
28797,Xerocomus parasiticus,Xerocomus parasiticus,LITTOX,,,,,
28798,Xerocomus spadiceus,Xerocomus spadiceus,LITTOX,,,,,
28799,Xerocomus subtomentosus,Xerocomus subtomentosus,LITTOX,,,,,
28800,Xeroderris,Xeroderris,LITTOX,Aganope,,,21596-1,Genus
28801,Xeromphalina,Xeromphalina,LITTOX,,,,,
28802,Xeromphalina campanella,Xeromphalina campanella,LITTOX,,,,,
28803,Xeromphalina sp.,Xeromphalina sp.,LITTOX,,,,,
28804,Xeromphalina tenuipes,Xeromphalina tenuipes,LITTOX,,,,,
28805,Xeromphis obovata,Xeromphis obovata,LITTOX,Catunaregam obovata,Catunaregam obovata,912209-1,912209-1,Species
28806,Xerophyllum tenax,Xerophyllum tenax,LITTOX,Xerophyllum tenax,Xerophyllum tenax,1013593-2,1013593-2,Species
28807,Xerotes,Xerotes,LITTOX,Lomandra,,,20605-1,Genus
28808,Xerotes brownii,Xerotes brownii,LITTOX,Lomandra multiflora subsp. multiflora,Lomandra multiflora,123179-3,123192-3,Subspecies
28809,Xerotes longifolia,Xerotes longifolia,LITTOX,Lomandra longifolia,Lomandra longifolia,443678-1,443678-1,Species
28810,Xerula,Xerula,LITTOX,,,,,
28811,Ximenesia encelioides,Ximenesia encelioides,LITTOX,Verbesina encelioides,Verbesina encelioides,30147294-2,30147294-2,Species
28812,Ximenesia exauriculata,Ximenesia exauriculata,LITTOX,Verbesina encelioides,Verbesina encelioides,30147294-2,30147294-2,Species
28813,Ximenia,Ximenia,LITTOX,Ximenia,,,28311-1,Genus
28814,Ximenia americana,Ximenia americana,LITTOX,Ximenia americana,Ximenia americana,316341-2,316341-2,Species
28815,Ximenia caffra,Ximenia caffra,LITTOX,Ximenia caffra,Ximenia caffra,608572-1,608572-1,Species
28816,Ximenia caffra var. caffra,Ximenia caffra var. caffra,LITTOX,Ximenia caffra var. caffra,Ximenia caffra,608572-1,77225008-1,Variety
28817,Ximenia elliptica,Ximenia elliptica,LITTOX,Ximenia americana,Ximenia americana,316341-2,316341-2,Species
28818,xTriticosecale,xTriticosecale,LITTOX,,,,,
28819,Xylaria polymorpha,Xylaria polymorpha,LITTOX,,,,,
28820,Xylia dolabriformis,Xylia dolabriformis,LITTOX,Xylia xylocarpa var. xylocarpa,Xylia xylocarpa,941653-1,77208493-1,Variety
28821,Xylia xylocarpa,Xylia xylocarpa,LITTOX,Xylia xylocarpa,Xylia xylocarpa,941653-1,941653-1,Species
28822,Xylocarpus,Xylocarpus,LITTOX,Xylocarpus,,,26860-1,Genus
28823,Xylocarpus granatum,Xylocarpus granatum,LITTOX,Xylocarpus granatum,Xylocarpus granatum,579970-1,579970-1,Species
28824,Xylocarpus moluccensis,Xylocarpus moluccensis,LITTOX,Xylocarpus moluccensis,Xylocarpus moluccensis,579974-1,579974-1,Species
28825,Xylomelum,Xylomelum,LITTOX,Xylomelum,,,33015-1,Genus
28826,Xylomelum angustifolium,Xylomelum angustifolium,LITTOX,Xylomelum angustifolium,Xylomelum angustifolium,706858-1,706858-1,Species
28827,Xylomelum cunninghamianum,Xylomelum cunninghamianum,LITTOX,Xylomelum cunninghamianum,Xylomelum cunninghamianum,931944-1,931944-1,Species
28828,Xylomelum pyriforme,Xylomelum pyriforme,LITTOX,Xylomelum pyriforme,Xylomelum pyriforme,706860-1,706860-1,Species
28829,Xylomelum pyriforme var. salicinum,Xylomelum pyriforme var. salicinum,LITTOX,Xylomelum benthamii,Xylomelum benthamii,77080446-1,77080446-1,Species
28830,Xylomelum salicinum,Xylomelum salicinum,LITTOX,Xylomelum salicinum,Xylomelum salicinum,706861-1,706861-1,Species
28831,Xylopia,Xylopia,LITTOX,Xylopia,,,332070-2,Genus
28832,Xylopia aethiopica,Xylopia aethiopica,LITTOX,Xylopia aethiopica,Xylopia aethiopica,76056-1,76056-1,Species
28833,Xylopia ethiopica,Xylopia ethiopica,LITTOX,,,,,
28834,Xylopia frutescens,Xylopia frutescens,LITTOX,Xylopia frutescens,Xylopia frutescens,76133-1,76133-1,Species
28835,Xylopia glabra,Xylopia glabra,LITTOX,Annona squamosa,Annona squamosa,72319-1,72319-1,Species
28836,Xylopia holtzii,Xylopia holtzii,LITTOX,Xylopia holtzii,Xylopia holtzii,76150-1,76150-1,Species
28837,Xylopia pancheri,Xylopia pancheri,LITTOX,Xylopia pancheri,Xylopia pancheri,76214-1,76214-1,Species
28838,Xylopia sericea,Xylopia sericea,LITTOX,Xylopia sericea,Xylopia sericea,76256-1,76256-1,Species
28839,Xylorhiza,Xylorhiza,LITTOX,Xylorhiza,,,30013775-2,Genus
28840,Xylorhiza as 'woodyaster',Xylorhiza as 'woodyaster',LITTOX,,,,,
28841,Xylorhiza glabriuscula,Xylorhiza glabriuscula,LITTOX,Xylorhiza glabriuscula,Xylorhiza glabriuscula,261075-1,261075-1,Species
28842,Xylorrhiza,Xylorrhiza,LITTOX,,,,,
28843,Xylorrhiza glabriuscula,Xylorrhiza glabriuscula,LITTOX,Xylorhiza glabriuscula,Xylorhiza glabriuscula,261075-1,261075-1,Species
28844,Xylorrhiza parryi,Xylorrhiza parryi,LITTOX,Xylorhiza glabriuscula,Xylorhiza glabriuscula,261075-1,261075-1,Species
28845,Xylorrhiza purryi,Xylorrhiza purryi,LITTOX,,,,,
28846,Xylorrhiza tortifolia,Xylorrhiza tortifolia,LITTOX,Xylorhiza tortifolia,Xylorhiza tortifolia,269870-2,269870-2,Species
28847,Xylorrhiza venusta,Xylorrhiza venusta,LITTOX,Xylorhiza venusta,Xylorhiza venusta,269872-2,269872-2,Species
28848,Xylorrhiza villosa,Xylorrhiza villosa,LITTOX,Xylorhiza glabriuscula,Xylorhiza glabriuscula,261075-1,261075-1,Species
28849,Xylosma salzmannii,Xylosma salzmannii,LITTOX,Xylosma prockia,Xylosma prockia,366111-1,366111-1,Species
28850,Xymalos monospora,Xymalos monospora,LITTOX,Xymalos monospora,Xymalos monospora,112184-1,112184-1,Species
28851,Xyris jupicai,Xyris jupicai,LITTOX,Xyris jupicai,Xyris jupicai,315094-2,315094-2,Species
28852,Xyris semifuscata,Xyris semifuscata,LITTOX,Xyris capensis var. capensis,Xyris capensis,871379-1,77169648-1,Variety
28853,Xysmalobium,Xysmalobium,LITTOX,Xysmalobium,,,3801-1,Genus
28854,Xysmalobium undulatum,Xysmalobium undulatum,LITTOX,Xysmalobium undulatum,Xysmalobium undulatum,103155-1,103155-1,Species
28855,Youngia,,LITTOX,Youngia,,,30147267-2,Genus
28856,Youngia denticulata,,LITTOX,Crepidiastrum denticulatum subsp. denticulatum,Crepidiastrum denticulatum,1013748-2,77180387-1,Subspecies
28857,Youngia japonica,,LITTOX,Youngia japonica,Youngia japonica,1124129-2,1124129-2,Species
28858,Youngia koidzumiana,,LITTOX,Crepidiastrum chelidoniifolium,Crepidiastrum chelidoniifolium,1117225-2,1117225-2,Species
28859,Yucca,Yucca,LITTOX,Yucca,,,30003895-2,Genus
28860,Yucca aliofolia,Yucca aliofolia,LITTOX,,,,,
28861,Yucca aloifolia,Yucca aloifolia,LITTOX,Yucca aloifolia,Yucca aloifolia,325009-2,325009-2,Species
28862,Yucca brevifolia,Yucca brevifolia,LITTOX,Yucca brevifolia,Yucca brevifolia,270297-2,270297-2,Species
28863,Yucca filifera,Yucca filifera,LITTOX,Yucca filifera,Yucca filifera,270333-2,270333-2,Species
28864,Yucca glauca,Yucca glauca,LITTOX,Yucca glauca,Yucca glauca,1189808-2,1189808-2,Species
28865,Yucca gloriosa,Yucca gloriosa,LITTOX,Yucca gloriosa,Yucca gloriosa,325010-2,325010-2,Species
28866,Yucca rupicola,Yucca rupicola,LITTOX,Yucca rupicola,Yucca rupicola,543775-1,543775-1,Species
28867,Yucca schidigera,Yucca schidigera,LITTOX,Yucca schidigera,Yucca schidigera,60445117-2,60445117-2,Species
28868,Yucca torreyii,Yucca torreyii,LITTOX,Yucca faxoniana,Yucca faxoniana,270318-2,270318-2,Species
28869,Yucca whipplei,Yucca whipplei,LITTOX,Hesperoyucca whipplei,Hesperoyucca whipplei,536466-1,536466-1,Species
28870,Zaleya galericulata,Zaleya galericulata,LITTOX,Zaleya galericulata,Zaleya galericulata,58126-1,58126-1,Species
28871,Zaluzania,Zaluzania,LITTOX,Zaluzania,,,11596-1,Genus
28872,Zaluzania pringlei,Zaluzania pringlei,LITTOX,Zaluzania pringlei,Zaluzania pringlei,270484-2,270484-2,Species
28873,Zamia,Zamia,LITTOX,Zamia,,,328825-2,Genus
28874,Zamia boliviana,Zamia boliviana,LITTOX,Zamia boliviana,Zamia boliviana,297248-1,297248-1,Species
28875,Zamia brogniartii,Zamia brogniartii,LITTOX,,,,,
28876,Zamia chigua,Zamia chigua,LITTOX,Zamia chigua,Zamia chigua,297256-1,297256-1,Species
28877,Zamia cycadifolia,Zamia cycadifolia,LITTOX,Macrozamia fraseri,Macrozamia fraseri,297171-1,297171-1,Species
28878,Zamia floridana,Zamia floridana,LITTOX,Zamia integrifolia,Zamia integrifolia,270527-2,270527-2,Species
28879,Zamia floridiana,Zamia floridiana,LITTOX,Zamia integrifolia,Zamia integrifolia,270527-2,270527-2,Species
28880,Zamia furfuracea,Zamia furfuracea,LITTOX,Zamia furfuracea,Zamia furfuracea,270522-2,270522-2,Species
28881,Zamia furfuraceae,Zamia furfuraceae,LITTOX,Zamia furfuracea,Zamia furfuracea,270522-2,270522-2,Species
28882,Zamia herrerae,Zamia herrerae,LITTOX,Zamia herrerae,Zamia herrerae,270526-2,270526-2,Species
28883,Zamia integrifolia,Zamia integrifolia,LITTOX,Zamia integrifolia,Zamia integrifolia,270527-2,270527-2,Species
28884,Zamia latifolia,Zamia latifolia,LITTOX,,,,,
28885,Zamia latifoliata,Zamia latifoliata,LITTOX,,,,,
28886,Zamia le-cointei,Zamia le-cointei,LITTOX,Zamia lecointei,Zamia lecointei,270531-2,270531-2,Species
28887,Zamia loddigesii,Zamia loddigesii,LITTOX,Zamia loddigesii,Zamia loddigesii,297327-1,297327-1,Species
28888,Zamia loddigesii var. cycadifolia,Zamia loddigesii var. cycadifolia,LITTOX,Zamia loddigesii,Zamia loddigesii,297327-1,297327-1,Species
28889,Zamia loddigesii var. latifolia,Zamia loddigesii var. latifolia,LITTOX,Zamia loddigesii,Zamia loddigesii,297327-1,297327-1,Species
28890,Zamia loddigesii var. longifolia,Zamia loddigesii var. longifolia,LITTOX,Zamia herrerae,Zamia herrerae,270526-2,270526-2,Species
28891,Zamia loddigesii var. spartea,Zamia loddigesii var. spartea,LITTOX,Zamia spartea,Zamia spartea,270570-2,270570-2,Species
28892,Zamia media,Zamia media,LITTOX,Zamia integrifolia,Zamia integrifolia,270527-2,270527-2,Species
28893,Zamia muricata,Zamia muricata,LITTOX,Zamia muricata,Zamia muricata,270552-2,270552-2,Species
28894,Zamia muricata var. picta,Zamia muricata var. picta,LITTOX,Zamia muricata,Zamia muricata,270552-2,270552-2,Species
28895,Zamia picta,Zamia picta,LITTOX,Zamia variegata,Zamia variegata,297402-1,297402-1,Species
28896,Zamia portoricensis,Zamia portoricensis,LITTOX,Zamia portoricensis,Zamia portoricensis,270557-2,270557-2,Species
28897,Zamia puertoriquensis,Zamia puertoriquensis,LITTOX,,,,,
28898,Zamia pumila,Zamia pumila,LITTOX,Zamia pumila,Zamia pumila,270561-2,270561-2,Species
28899,Zamia skinneri,Zamia skinneri,LITTOX,Zamia skinneri,Zamia skinneri,297378-1,297378-1,Species
28900,Zamia spartea,Zamia spartea,LITTOX,Zamia spartea,Zamia spartea,270570-2,270570-2,Species
28901,Zamia ulei,Zamia ulei,LITTOX,Zamia ulei,Zamia ulei,270576-2,270576-2,Species
28902,Zamia variegata,Zamia variegata,LITTOX,Zamia variegata,Zamia variegata,297402-1,297402-1,Species
28903,Zamiaceae,Zamiaceae,LITTOX,Zamia,,,328825-2,Genus
28904,Zamioculcas,,LITTOX,Zamioculcas,,,2950-1,Genus
28905,Zamioculcus zamiifolia,Zamioculcus zamiifolia,LITTOX,,,,,
28906,Zanha africana,Zanha africana,LITTOX,Zanha africana,Zanha africana,785637-1,785637-1,Species
