,Common name,UCANR_Snippet,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Source
114,Aluminum plant; Pilea,Pilea spp.,Pilea,,,331855-2,Genus,UCANR
115,Pine tree,Pinus spp.,Pinus,,,328247-2,Genus,UCANR
116,Pittosporum,Pittosporum tobira,Pittosporum tobira,Pittosporum tobira,684716-1,684716-1,Species,UCANR
117,Plane tree; Sycamore,Platanus occidentalis,Platanus occidentalis,Platanus occidentalis,685871-1,685871-1,Species,UCANR
118,Staghorn fern,Platycerium bifurcatum,Platycerium bifurcatum,Platycerium bifurcatum,17177460-1,17177460-1,Species,UCANR
119,Balloon flower,Platycodon grandiflorus,Platycodon grandiflorus,Platycodon grandiflorus,144523-1,144523-1,Species,UCANR
120,Swedish ivy,Plectranthus spp.,Plectranthus,,,328178-2,Genus,UCANR
121,Hare's-foot fern,Polypodium aureum,Phlebodium aureum,Phlebodium aureum,17175390-1,17175390-1,Species,UCANR
122,Moss rose; Portulaca,Portulaca spp.,Portulaca,,,325899-2,Genus,UCANR
123,Douglas fir,Pseudotsuga spp.,Pseudotsuga,,,30005513-2,Genus,UCANR
124,China doll,Radermachera spp.,Radermachera,,,4224-1,Genus,UCANR
125,India hawthorn; Raphiolepis,Raphiolepis spp.,Rhaphiolepis,,,34008-1,Genus,UCANR
126,Lady palm,Rhapis excelsa,Rhapis excelsa,Rhapis excelsa,669577-1,669577-1,Species,UCANR
127,African violet,Saintpaulia ionantha,Streptocarpus ionanthus,Streptocarpus ionanthus,77117375-1,77117375-1,Species,UCANR
128,Willow,Salix spp.,Salix,,,325916-2,Genus,UCANR
129,Sage; Salvia,Salvia spp.,Salvia,,,30000096-2,Genus,UCANR
130,Christmas cactus,Schlumbergera bridgesii,Schlumbergera russelliana,Schlumbergera russelliana,229596-2,229596-2,Species,UCANR
131,Stonecrop,Sedum spp.,Sedum,,,30001444-2,Genus,UCANR
132,Hens and chickens,Sempervivum tectorum,Sempervivum tectorum,Sempervivum tectorum,276682-1,276682-1,Species,UCANR
133,Gloxinia,Sinningia speciosa,Sinningia speciosa,Sinningia speciosa,382786-1,382786-1,Species,UCANR
134,Baby's tears,Soleirolia soleirolii,Soleirolia soleirolii,Soleirolia soleirolii,856545-1,856545-1,Species,UCANR
135,Mountain ash,Sorbus aucuparia,Sorbus aucuparia,Sorbus aucuparia,741641-1,741641-1,Species,UCANR
136,Spiraea,Spiraea spp.,Spiraea,,,325874-2,Genus,UCANR
137,Bird of paradise; Strelitzia,Strelitzia reginae,Strelitzia reginae,Strelitzia reginae,798194-1,798194-1,Species,UCANR
138,Brush cherry; Eugenia,Syzygium spp.,Syzygium,,,327906-2,Genus,UCANR
139,Dandelion,Taraxacum officinale,Taraxacum sect. Taraxacum,Taraxacum sect. Taraxacum,254151-1,254151-1,Species,UCANR
140,Black-eyed Susan vine,Thunbergia alata,Thunbergia alata,Thunbergia alata,56177-1,56177-1,Species,UCANR
141,Piggy-back plant,Tolmiea menziesii,Tolmiea menziesii,Tolmiea menziesii,794907-1,794907-1,Species,UCANR
142,Star jasmine,Trachelospermum jasminoides,Trachelospermum jasminoides,Trachelospermum jasminoides,82553-1,82553-1,Species,UCANR
143,Nasturtium,Tropaeolum majus,Tropaeolum majus,Tropaeolum majus,310974-2,310974-2,Species,UCANR
144,Hemlock tree,Tsuga spp.,Tsuga,,,11721-1,Genus,UCANR
145,Viburnum,Viburnum spp.,Viburnum,,,30000738-2,Genus,UCANR
146,Japanese snowball,Viburnum plicatum,Viburnum plicatum,Viburnum plicatum,149876-1,149876-1,Species,UCANR
147,Flaming sword bromeliad; Vriesea bromeliad,Vriesea spp.,Vriesea,,,328332-2,Genus,UCANR
148,Weigela,Weigela spp.,Weigela,,,6141-1,Genus,UCANR
149,Yucca,Yucca spp.,Yucca,,,30003895-2,Genus,UCANR
150,Zinnia,Zinnia spp.,Zinnia,,,332074-2,Genus,UCANR
